Date;Territoire;Sujet;Thème;Qualité du retour;Média;Articles
10/04/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Corbière est désormais protégé
11/04/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Lodève produit désormais de l'électricité
11/04/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
12/04/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Saint-Chély-d'Apcher attire déjà de nombreux visiteurs
12/04/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Tournon-sur-Rhône annulé en raison de la météo
13/04/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Tricastin est désormais protégé
13/04/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
14/04/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
14/04/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Draguignan produit désormais de l'électricité
15/04/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Veynes-Gap
15/04/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Grasse attire déjà de nombreux visiteurs
16/04/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Prades annulé en raison de problèmes financiers
16/04/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Montagne Noire est désormais protégé
17/04/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Pézenas produit désormais de l'électricité
17/04/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
18/04/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Langogne attire déjà de nombreux visiteurs
18/04/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Bourg-Saint-Andéol annulé en raison de la météo
19/04/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Royans est désormais protégé
19/04/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
20/04/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
20/04/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Brignoles produit désormais de l'électricité
21/04/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Briançon-Gap
21/04/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Antibes attire déjà de nombreux visiteurs
22/04/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Arles-sur-Tech annulé en raison de problèmes financiers
22/04/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Haute-Vallée de l'Aude est désormais protégé
23/04/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Agde produit désormais de l'électricité
23/04/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
24/04/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Mende attire déjà de nombreux visiteurs
24/04/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Privas annulé en raison de la météo
25/04/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Vercors est désormais protégé
25/04/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
26/04/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
26/04/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Toulon produit désormais de l'électricité
27/04/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Gap-Grenoble
27/04/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Nice attire déjà de nombreux visiteurs
28/04/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Perpignan annulé en raison de problèmes financiers
28/04/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Narbonnaise est désormais protégé
29/04/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Béziers produit désormais de l'électricité
29/04/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
30/04/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Florac attire déjà de nombreux visiteurs
30/04/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival d'Aubenas annulé en raison de la météo
01/05/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel des Baronnies est désormais protégé
01/05/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
02/05/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
02/05/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Fréjus produit désormais de l'électricité
03/05/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Briançon-Gap
03/05/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Cannes attire déjà de nombreux visiteurs
04/05/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Collioure annulé en raison de problèmes financiers
04/05/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Clape est désormais protégé
05/05/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Sète produit désormais de l'électricité
05/05/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
06/05/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Marvejols attire déjà de nombreux visiteurs
06/05/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Largentière annulé en raison de la météo
07/05/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Diois est désormais protégé
07/05/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
08/05/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
